datetime,open,high,low,close,tick_volume,gradient,signal_label,signal_with_time
2024-06-21,2360.4,2368.77,2316.78,2321.42,158972,-38.59999999999991,Bearish,Bearish (2024-06-21 00:00:00)
2024-06-24,2321.61,2334.71,2317.71,2334.43,136008,13.009999999999764,Bullish,Bullish (2024-06-24 00:00:00)
2024-06-25,2333.97,2337.13,2315.56,2319.51,133492,-14.919999999999618,Bearish,Bearish (2024-06-25 00:00:00)
2024-06-26,2319.19,2324.09,2293.66,2298.06,153119,-21.450000000000273,Bearish,Bearish (2024-06-26 00:00:00)
2024-06-27,2298.33,2330.95,2296.56,2327.48,143222,29.420000000000073,Bullish,Bullish (2024-06-27 00:00:00)
2024-06-28,2327.72,2339.76,2319.09,2326.4,148849,-1.0799999999999272,Bearish,Bearish (2024-06-28 00:00:00)
2024-07-01,2327.13,2338.54,2318.56,2331.72,144270,5.319999999999709,Bullish,Bullish (2024-07-01 00:00:00)
2024-07-02,2331.45,2336.81,2319.07,2329.35,139167,-2.369999999999891,Bearish,Bearish (2024-07-02 00:00:00)
2024-07-03,2329.47,2364.98,2326.96,2356.07,142054,26.720000000000255,Bullish,Bullish (2024-07-03 00:00:00)
2024-07-04,2355.19,2362.55,2350.52,2356.98,80833,0.9099999999998545,Bullish,Bullish (2024-07-04 00:00:00)
2024-07-05,2357.31,2392.96,2352.63,2391.06,156377,34.07999999999993,Bullish,Bullish (2024-07-05 00:00:00)
2024-07-08,2385.2,2391.12,2351.07,2359.09,146386,-31.9699999999998,Bearish,Bearish (2024-07-08 00:00:00)
2024-07-09,2358.98,2371.56,2349.49,2363.73,143137,4.639999999999873,Bullish,Bullish (2024-07-09 00:00:00)
2024-07-10,2363.63,2386.68,2363.04,2371.26,123435,7.5300000000002,Bullish,Bullish (2024-07-10 00:00:00)
2024-07-11,2371.25,2424.58,2370.95,2415.3,159325,44.039999999999964,Bullish,Bullish (2024-07-11 00:00:00)
2024-07-12,2415.54,2418.3,2391.45,2411.59,153656,-3.7100000000000364,Bearish,Bearish (2024-07-12 00:00:00)
2024-07-15,2411.8,2439.78,2401.37,2422.23,160395,10.639999999999873,Bullish,Bullish (2024-07-15 00:00:00)
2024-07-16,2422.23,2469.71,2420.02,2468.69,165864,46.460000000000036,Bullish,Bullish (2024-07-16 00:00:00)
2024-07-17,2468.45,2483.69,2451.58,2458.66,194639,-10.0300000000002,Bearish,Bearish (2024-07-17 00:00:00)
2024-07-18,2458.66,2474.94,2440.38,2445.08,174249,-13.579999999999927,Bearish,Bearish (2024-07-18 00:00:00)
2024-07-19,2445.41,2445.86,2393.86,2400.3,179677,-44.779999999999745,Bearish,Bearish (2024-07-19 00:00:00)
2024-07-22,2401.86,2412.17,2383.92,2396.35,163139,-3.950000000000273,Bearish,Bearish (2024-07-22 00:00:00)
2024-07-23,2396.23,2412.06,2388.3,2409.62,157250,13.269999999999982,Bullish,Bullish (2024-07-23 00:00:00)
2024-07-24,2408.92,2432.02,2396.72,2397.23,173035,-12.389999999999873,Bearish,Bearish (2024-07-24 00:00:00)
2024-07-25,2397.28,2401.24,2353.14,2364.49,234935,-32.74000000000024,Bearish,Bearish (2024-07-25 00:00:00)
2024-07-26,2364.16,2390.81,2355.85,2387.34,172714,22.850000000000364,Bullish,Bullish (2024-07-26 00:00:00)
2024-07-29,2388.99,2403.16,2369.68,2383.5,178928,-3.8400000000001455,Bearish,Bearish (2024-07-29 00:00:00)
2024-07-30,2383.31,2412.89,2376.51,2410.92,173765,27.420000000000073,Bullish,Bullish (2024-07-30 00:00:00)
2024-07-31,2410.23,2451.01,2403.92,2447.24,212195,36.31999999999971,Bullish,Bullish (2024-07-31 00:00:00)
2024-08-01,2448.4,2462.31,2430.27,2446.3,229490,-0.9399999999995998,Bearish,Bearish (2024-08-01 00:00:00)
2024-08-02,2446.36,2477.72,2410.87,2441.38,248221,-4.920000000000073,Bearish,Bearish (2024-08-02 00:00:00)
2024-08-05,2442.1,2458.78,2364.35,2409.96,329638,-31.420000000000073,Bearish,Bearish (2024-08-05 00:00:00)
2024-08-06,2410.23,2418.36,2381.78,2389.85,250745,-20.110000000000127,Bearish,Bearish (2024-08-06 00:00:00)
2024-08-07,2391.85,2407.06,2379.07,2383.06,208203,-6.789999999999964,Bearish,Bearish (2024-08-07 00:00:00)
2024-08-08,2382.79,2427.64,2380.96,2427.18,210262,44.11999999999989,Bullish,Bullish (2024-08-08 00:00:00)
2024-08-09,2426.89,2437.07,2416.93,2431.07,174936,3.8900000000003274,Bullish,Bullish (2024-08-09 00:00:00)
2024-08-12,2429.67,2473.16,2423.88,2472.03,151090,40.960000000000036,Bullish,Bullish (2024-08-12 00:00:00)
2024-08-13,2470.53,2476.97,2458.51,2464.98,165524,-7.050000000000182,Bearish,Bearish (2024-08-13 00:00:00)
2024-08-14,2465.72,2480.02,2438.13,2447.92,187008,-17.059999999999945,Bearish,Bearish (2024-08-14 00:00:00)
2024-08-15,2447.56,2470.09,2432.23,2456.24,174003,8.319999999999709,Bullish,Bullish (2024-08-15 00:00:00)
2024-08-16,2456.42,2509.76,2450.82,2507.46,174410,51.220000000000255,Bullish,Bullish (2024-08-16 00:00:00)
2024-08-19,2510.66,2510.75,2485.67,2504.23,179239,-3.230000000000018,Bearish,Bearish (2024-08-19 00:00:00)
2024-08-20,2503.13,2531.72,2497.36,2514.01,176292,9.7800000000002,Bullish,Bullish (2024-08-20 00:00:00)
2024-08-21,2513.64,2519.98,2494.03,2512.3,178811,-1.7100000000000364,Bearish,Bearish (2024-08-21 00:00:00)
2024-08-22,2511.89,2514.68,2470.87,2484.73,177337,-27.570000000000164,Bearish,Bearish (2024-08-22 00:00:00)
2024-08-23,2484.76,2518.37,2484.46,2511.93,177055,27.199999999999818,Bullish,Bullish (2024-08-23 00:00:00)
2024-08-26,2512.77,2526.94,2508.76,2517.91,172922,5.980000000000018,Bullish,Bullish (2024-08-26 00:00:00)
2024-08-27,2517.98,2525.99,2503.58,2524.59,163448,6.680000000000291,Bullish,Bullish (2024-08-27 00:00:00)
2024-08-28,2524.44,2529.04,2493.66,2504.67,167249,-19.920000000000073,Bearish,Bearish (2024-08-28 00:00:00)
2024-08-29,2504.48,2528.72,2503.69,2521.09,171932,16.420000000000073,Bullish,Bullish (2024-08-29 00:00:00)
2024-08-30,2521.26,2526.91,2494.17,2503.35,172860,-17.740000000000236,Bearish,Bearish (2024-08-30 00:00:00)
2024-09-02,2503.75,2507.32,2490.06,2499.61,107527,-3.7399999999997817,Bearish,Bearish (2024-09-02 00:00:00)
2024-09-03,2499.09,2506.31,2473.47,2492.86,183475,-6.75,Bearish,Bearish (2024-09-03 00:00:00)
2024-09-04,2492.73,2500.27,2471.93,2495.44,169085,2.5799999999999272,Bullish,Bullish (2024-09-04 00:00:00)
2024-09-05,2495.19,2523.47,2493.86,2516.63,167669,21.190000000000055,Bullish,Bullish (2024-09-05 00:00:00)
2024-09-06,2516.57,2529.22,2485.16,2497.61,189736,-19.019999999999982,Bearish,Bearish (2024-09-06 00:00:00)
2024-09-09,2496.33,2507.18,2485.57,2506.22,166785,8.609999999999673,Bullish,Bullish (2024-09-09 00:00:00)
2024-09-10,2506.07,2518.47,2500.16,2516.54,158668,10.320000000000164,Bullish,Bullish (2024-09-10 00:00:00)
2024-09-11,2516.38,2529.06,2500.97,2511.35,191585,-5.190000000000055,Bearish,Bearish (2024-09-11 00:00:00)
