time,open,high,low,close,tick_volume,avgPrice,gradient,signal_label,signal_with_time
2/21/2021,1784.18,1815.99,1717.22,1734.28,1183033,1759.23,-45.385,Bearish,Bearish (2021-02-21 00:00:00)
2/28/2021,1735.92,1759.83,1687.28,1700.35,1117758,1718.135,-41.095,Bearish,Bearish (2021-02-28 00:00:00)
3/7/2021,1705.95,1739.86,1676.81,1728.03,971753,1716.99,-1.145,Bearish,Bearish (2021-03-07 00:00:00)
3/14/2021,1729.75,1755.51,1719.23,1745.36,838050,1737.555,20.565,Bullish,Bullish (2021-03-14 00:00:00)
3/21/2021,1743.95,1745.5,1721.55,1732.47,737348,1738.21,0.655,Bullish,Bullish (2021-03-21 00:00:00)
3/28/2021,1732.55,1732.89,1677.89,1729.77,596214,1731.16,-7.05,Bearish,Bearish (2021-03-28 00:00:00)
4/4/2021,1727.63,1758.7,1721.31,1743.86,601544,1735.745,4.585,Bullish,Bullish (2021-04-04 00:00:00)
4/11/2021,1743.59,1783.87,1723.73,1776.93,641437,1760.26,24.515,Bullish,Bullish (2021-04-11 00:00:00)
4/18/2021,1776.91,1797.85,1763.65,1776.56,485513,1776.735,16.475,Bullish,Bullish (2021-04-18 00:00:00)
4/25/2021,1775.4,1789.97,1756.09,1768.88,428267,1772.14,-4.595,Bearish,Bearish (2021-04-25 00:00:00)
5/2/2021,1766.81,1843.29,1766.04,1831.38,433636,1799.095,26.955,Bullish,Bullish (2021-05-02 00:00:00)
5/9/2021,1833.15,1845.74,1808.75,1843.34,515869,1838.245,39.15,Bullish,Bullish (2021-05-09 00:00:00)
5/16/2021,1842.58,1890.04,1842.1,1881.34,484102,1861.96,23.715,Bullish,Bullish (2021-05-16 00:00:00)
5/23/2021,1881.34,1912.75,1872.74,1903.83,446837,1892.585,30.625,Bullish,Bullish (2021-05-23 00:00:00)
5/30/2021,1903.55,1916.6,1855.86,1891.5,398369,1897.525,4.94,Bullish,Bullish (2021-05-30 00:00:00)
6/6/2021,1890.52,1903.64,1869.87,1876.19,381586,1883.355,-14.17,Bearish,Bearish (2021-06-06 00:00:00)
6/13/2021,1876.6,1877.66,1760.87,1764.2,491122,1820.4,-62.955,Bearish,Bearish (2021-06-13 00:00:00)
6/20/2021,1768.08,1794.94,1766.42,1781.26,444065,1774.67,-45.73,Bearish,Bearish (2021-06-20 00:00:00)
6/27/2021,1781.86,1795.08,1750.67,1787.47,397018,1784.665,9.995,Bullish,Bullish (2021-06-27 00:00:00)
7/4/2021,1787.49,1818.34,1784.48,1808.28,411076,1797.885,13.22,Bullish,Bullish (2021-07-04 00:00:00)
7/11/2021,1807.69,1834.14,1791.68,1811.55,431241,1809.62,11.735,Bullish,Bullish (2021-07-11 00:00:00)
